"number","originalNumber","sourcePath","imagePath","reference","title","slug","categoryId","productTerminology","utensilType","material","purity","sourcePurityClaim","weightGrams","heightInches","widthInches","depthInches","diameterInches","suppliedSizeLabel","singhasanWidthInches","singhasanDepthInches","dimensionRequirementWaivedByOwner","dimensionInterpretation","idolConstruction","deityIds","shortDescription","alt","publishBlockers","readyForSanityAssetUpload","readyForProductPublish"
"48","49","C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-23 at 3.59.15 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/49-enamel-floral-hammered-silver-box.png","DDA-GF-PICS-49","Enamel Floral Hammered Silver Box","enamel-floral-hammered-silver-box","category-gifts",,,"silver","92.5",,"600",,"8","5",,"8/5inch",,,,,,"","A rounded rectangular hammered silver box with pink and green enamel flowers. Weight: 600 g. Supplied size: 8 × 5 in. Purity: 92.5%.","Rounded rectangular hammered silver box with pink and green enamel flowers","","True","True"
"49","50","C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-23 at 4.03.30 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/50-four-bowl-square-silver-serving-set.png","DDA-UT-BW-102","Four-Bowl Square Silver Serving Set","four-bowl-square-silver-serving-set","category-utensils",,"bowl","silver","92.5",,"660",,"8","8",,"8/8inch",,,,,,"","A square embossed silver serving tray fitted with four round bowls. Weight: 660 g. Supplied size: 8 × 8 in. Purity: 92.5%.","Square embossed silver serving tray with four round bowls","","True","True"
"50","51","C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-23 at 4.04.40 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/51-handled-four-bowl-silver-serving-set.png","DDA-UT-BW-103","Handled Four-Bowl Silver Serving Set","handled-four-bowl-silver-serving-set","category-utensils",,"bowl","silver","92.5",,"771",,"8","8",,"8/8inch",,,,,,"","A square handled silver serving tray with four matching bowls and ornate edging. Weight: 771 g. Supplied size: 8 × 8 in. Purity: 92.5%.","Square handled silver serving tray with four matching bowls","","True","True"
"51","52","C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-23 at 4.06.38 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/52-six-bowl-rectangular-silver-serving-set.png","DDA-UT-BW-104","Six-Bowl Rectangular Silver Serving Set","six-bowl-rectangular-silver-serving-set","category-utensils",,"bowl","silver","92.5",,"970",,"11","8",,"11/8inch",,,,,,"","A rectangular silver serving tray with six faceted bowls. Weight: 970 g. Supplied size: 11 × 8 in. Purity: 92.5%.","Rectangular silver serving tray with six faceted bowls","","True","True"
"52","53","C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-23 at 4.11.29 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/53-six-bowl-flared-silver-serving-set.png","DDA-UT-BW-105","Six-Bowl Flared Silver Serving Set","six-bowl-flared-silver-serving-set","category-utensils",,"bowl","silver","92.5",,"1212",,"12","9",,"12/9inch",,,,,,"","A rounded rectangular silver serving tray with six flared bowls. Weight: 1,212 g. Supplied size: 12 × 9 in. Purity: 92.5%.","Rounded rectangular silver serving tray with six flared bowls","","True","True"
"53","54","C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-25 at 3.37.37 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/54-shiva-family-silver-idol-tableau.png","SSM-SF-1","Shiva Family Silver Idol Tableau","shiva-family-silver-idol-tableau","category-idols",,,"silver","92.5",,"675","5",,,,,,,,,"semi-solid","deity-shiva; deity-parvati; deity-ganesha; deity-kartikeya","A Shiva family silver tableau with Shiva, Parvati, Ganesha and Kartikeya. Weight: 675 g. Height: 5 in. Purity: 92.5%.","Shiva family silver tableau with Shiva, Parvati, Ganesha and Kartikeya","","True","True"
"54","55","C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-25 at 3.42.31 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/55-grand-seated-ganesha-silver-idol.png","SSM-GN-3","Grand Seated Ganesha Silver Idol","grand-seated-ganesha-silver-idol","category-idols",,,"silver","92.5",,"3120","9",,,,,,,,,"semi-solid","deity-ganesha","A large seated Ganesha silver idol with a bowl of sweets and mouse companion. Weight: 3,120 g. Height: 9 in. Purity: 92.5%.","Large seated Ganesha silver idol with bowl of sweets and mouse companion","","True","True"
"55","56","C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-25 at 3.54.27 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/56-engraved-wedding-scroll-holder.png","DDA-GF-PICS-56","Engraved Wedding Scroll Holder","engraved-wedding-scroll-holder","category-gifts",,,"silver","92.5",,"167","2.5","10",,,"Wedding Cart; length 10 inch; height 2.5 inch",,,,,,"","An engraved silver wedding-card scroll holder mounted horizontally on a decorative pedestal. Weight: 167 g. Length: 10 in. Height: 2.5 in. Purity: 92.5%.","Engraved silver wedding scroll holder mounted on a decorative pedestal","","True","True"
"56","57","C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-25 at 3.56.11 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/57-peacock-throne-ganesha-silver-idol.png","SSM-GN-4","Peacock-Throne Ganesha Silver Idol","peacock-throne-ganesha-silver-idol","category-idols",,,"silver","92.5",,"750","5.5",,,,,,,,,"semi-solid","deity-ganesha","A Ganesha silver idol seated on an ornate throne with peacock and mouse details. Weight: 750 g. Height: 5.5 in. Purity: 92.5%.","Ganesha silver idol seated on ornate throne with peacock and mouse details","","True","True"
"57","58","C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-25 at 4.00.08 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/58-round-footed-silver-keepsake-box.png","DDA-GF-PICS-58","Round Footed Silver Keepsake Box","round-footed-silver-keepsake-box","category-gifts",,,"silver","92.5",,"875",,,,"7.5","Diameter 7.5/6.5inch",,,,"Owner confirmed 7.5 inches as the outer diameter; the raw 7.5/6.5 inch label is retained.",,"","A large round footed silver keepsake box with ornate relief decoration. Weight: 875 g. Outer diameter: 7.5 in. Purity: 92.5%.","Large round footed silver keepsake box with ornate relief decoration","","True","True"
"58","59","C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-25 at 4.01.03 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/59-pink-stone-enamel-floral-silver-box.png","DDA-GF-PICS-59","Pink-Stone Enamel Floral Silver Box","pink-stone-enamel-floral-silver-box","category-gifts",,,"silver","92.5",,"700",,"8","5",,"8/5inch",,,,,,"","A rectangular engraved silver box with green enamel leaves and a pale pink stone cabochon. Weight: 700 g. Supplied size: 8 × 5 in. Purity: 92.5%.","Rectangular engraved silver box with green enamel leaves and pale pink stone","","True","True"
"59","60","C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-25 at 4.04.41 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/60-leaf-base-pedestal-silver-serving-bowl.png","DDA-UT-BW-106","Leaf-Base Pedestal Silver Serving Bowl","leaf-base-pedestal-silver-serving-bowl","category-utensils",,"bowl","silver","92.5",,"431","5.5",,,"8.5",,,,,,,"","A round pedestal silver serving bowl with floral rim and leaf-shaped base. Weight: 431 g. Height: 5.5 in. Diameter: 8.5 in. Purity: 92.5%.","Round pedestal silver serving bowl with floral rim and leaf-shaped base","","True","True"
"60","61","C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-25 at 4.06.07 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/61-peacock-footed-octagonal-silver-box.png","DDA-GF-PICS-61","Peacock-Footed Octagonal Silver Box","peacock-footed-octagonal-silver-box","category-gifts",,,"silver","92.5",,"977",,"7.5","5.5",,"7.5/5.5inch",,,,,,"","An octagonal footed silver box with dense floral relief and peacock-form side details. Weight: 977 g. Supplied size: 7.5 × 5.5 in. Purity: 92.5%.","Octagonal footed silver box with dense floral relief and peacock-form sides","","True","True"
"61","62","C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-25 at 4.08.07 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/62-turquoise-floral-five-piece-condiment-set.png","DDA-UT-BW-107","Turquoise Floral Five-Piece Condiment Set","turquoise-floral-five-piece-condiment-set","category-utensils",,"bowl","silver","92.5",,"970","3.5",,,,,,,,,,"","A five-piece covered silver condiment set with turquoise floral lid ornaments around a central peacock stand. Weight: 970 g. Height: 3.5 in. Purity: 92.5%.","Five-piece silver condiment set with turquoise floral lids and central peacock stand","","True","True"
"62","63","C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-25 at 4.09.19 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/63-elephant-floral-rectangular-silver-box.png","DDA-GF-PICS-63","Elephant-Floral Rectangular Silver Box","elephant-floral-rectangular-silver-box","category-gifts",,,"silver","92.5",,"980",,"7","5",,"7/5inch",,,,,,"","A rectangular footed silver box with elephant and floral relief decoration. Weight: 980 g. Supplied size: 7 × 5 in. Purity: 92.5%.","Rectangular footed silver box with elephant and floral relief decoration","","True","True"
"63","64","C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-25 at 4.15.13 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/64-enamel-floral-fan-shaped-silver-box.png","DDA-GF-PICS-64","Enamel Floral Fan-Shaped Silver Box","enamel-floral-fan-shaped-silver-box","category-gifts",,,"silver","92.5",,"900",,"5.5","6",,"5.5/6inch",,,,,,"","A fan-shaped silver box with scalloped relief and multicolour enamel floral panel. Weight: 900 g. Supplied size: 5.5 × 6 in. Purity: 92.5%.","Fan-shaped silver box with scalloped relief and multicolour enamel floral panel","","True","True"
"64","65","C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-25 at 4.24.27 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/65-two-bowl-handled-silver-serving-set.png","DDA-UT-BW-108","Two-Bowl Handled Silver Serving Set","two-bowl-handled-silver-serving-set","category-utensils",,"bowl","silver","92.5",,"425",,"9","7",,"Tray 9/7inch",,,,,,"","A rectangular handled silver tray with two covered bowls, clear faceted knobs and purple corner accents. Weight: 425 g. Tray size: 9 × 7 in. Purity: 92.5%.","Handled silver tray with two covered bowls, clear knobs and purple corner accents","","True","True"
"65","66","C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-25 at 4.25.23 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/66-crystal-knob-five-piece-condiment-set.png","DDA-UT-BW-109","Crystal-Knob Five-Piece Condiment Set","crystal-knob-five-piece-condiment-set","category-utensils",,"bowl","silver","92.5",,"550","3",,,,,,,,,,"","A five-piece covered silver condiment set with clear faceted knobs around a central peacock stand. Weight: 550 g. Height: 3 in. Purity: 92.5%.","Five-piece silver condiment set with clear faceted knobs and central peacock stand","","True","True"
"66","67","C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-25 at 4.28.03 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/67-floral-relief-covered-silver-serving-bowl.png","DDA-UT-BW-110","Floral-Relief Covered Silver Serving Bowl","floral-relief-covered-silver-serving-bowl","category-utensils",,"bowl","silver","92.5",,"500","3",,,"9",,,,,,,"","A large round covered silver serving bowl with floral relief band and clear lid. Weight: 500 g. Height: 3 in. Diameter: 9 in. Purity: 92.5%.","Large round covered silver serving bowl with floral relief band and clear lid","","True","True"
