"number","sourcePath","sourceSha256","imagePath","reference","title","categoryId","utensilType","material","finish","sourcePurityMarking","purity","purityBasis","coinShape","weightGrams","sourceWeightToleranceGrams","diameterInches","suppliedSizeLabel","recordType","createProduct","parentReference","shortDescription","alt","publishBlockers","readyForSanityAssetUpload","readyForProductPublish"
"43","C:\Users\kk\Desktop\Files\IMG_2415.jpeg","9d6031e6a734f91d496b8ec5eb5b18f37ebc72004ccb41e0c91bca11bf8b033a","public/images/gallery-ingestion/desktop-files-2026-08-22/043-shiva-seated-round-silver-coin-10g.png","DDA-COIN-20260822-043","DDA 10 Gram Seated Shiva Round Silver Coin","category-coin","","silver","","999","99.80","owner-confirmed-2026-08-22","round","10","","","","","","","A 10 gram silver piece featuring Shiva seated in meditation with a decorative reverse. Owner-confirmed purity is 99.80%.","DDA 10 Gram Seated Shiva Round Silver Coin showing Shiva seated in meditation with a decorative reverse","","true","true"
"44","C:\Users\kk\Desktop\Files\IMG_2416.jpeg","c3c9d52798584cdba5262530582ecf06e8fda13d70dfb5f705fb8ed44a0e376e","public/images/gallery-ingestion/desktop-files-2026-08-22/044-srinathji-round-silver-coin-10g.png","DDA-COIN-20260822-044","DDA 10 Gram Srinathji Round Silver Coin","category-coin","","silver","","999","99.80","owner-confirmed-2026-08-22","round","10","","","","","","","A 10 gram silver piece featuring Srinathji in raised relief with an ornamental border. Owner-confirmed purity is 99.80%.","DDA 10 Gram Srinathji Round Silver Coin showing Srinathji in raised relief with an ornamental border","","true","true"
"45","C:\Users\kk\Desktop\Files\IMG_2417.jpeg","a995e97e9d4f0fa775575b49d01ebf2784c83a4db61c7bd9abab5656c3abb838","public/images/gallery-ingestion/desktop-files-2026-08-22/045-shiv-parivar-round-silver-coin-10g.png","DDA-COIN-20260822-045","DDA 10 Gram Shiv Parivar Round Silver Coin","category-coin","","silver","","999","99.80","owner-confirmed-2026-08-22","round","10","","","","","","","A 10 gram silver piece featuring the Shiv Parivar family scene in raised relief. Owner-confirmed purity is 99.80%.","DDA 10 Gram Shiv Parivar Round Silver Coin showing the Shiv Parivar family scene in raised relief","","true","true"
"46","C:\Users\kk\Desktop\Files\IMG_2418.jpeg","f57e4c19d6e94235f2373fefc1adfb85c8d5d2bb1a3a26e4d23db76cdb46ef7f","public/images/gallery-ingestion/desktop-files-2026-08-22/046-kaaba-allah-calligraphy-round-silver-coin-10g.png","DDA-COIN-20260822-046","DDA 10 Gram Kaaba and Allah Calligraphy Round Silver Coin","category-coin","","silver","","999","99.80","owner-confirmed-2026-08-22","round","10","","","","","","","A 10 gram silver piece featuring the Kaaba on one face and Arabic Allah calligraphy on the other. Owner-confirmed purity is 99.80%.","DDA 10 Gram Kaaba and Allah Calligraphy Round Silver Coin showing the Kaaba on one face and Arabic Allah calligraphy on the other","","true","true"
"47","C:\Users\kk\Desktop\Files\IMG_2419.jpeg","ec2c84534b418b1f3ead20cc5be699f4162f47b83ee645538f190154a32a9404","public/images/gallery-ingestion/desktop-files-2026-08-22/047-kaaba-786-round-silver-coin.png","DDA-COIN-20260822-047","DDA Kaaba and 786 Round Silver Coin","category-coin","","silver","","","99.80","owner-confirmed-2026-08-22","round","10","","","","","","","A 10 gram silver piece featuring the Kaaba, crescent and star, and 786 motifs. Owner-confirmed purity is 99.80%.","DDA Kaaba and 786 Round Silver Coin showing the Kaaba, crescent and star, and 786 motifs","","true","true"
"48","C:\Users\kk\Desktop\Files\IMG_2420.jpeg","a4916e4f4627c081b815f39585a21f5a9ad56cb1c3aac25c7a38802582c4b72d","public/images/gallery-ingestion/desktop-files-2026-08-22/048-khatu-shyam-oval-silver-coin.png","DDA-COIN-20260822-048","DDA Khatu Shyam Oval Silver Coin","category-coin","","silver","","DDA 999","99.80","owner-confirmed-2026-08-22","oval","10","","","","","","","A 10 gram silver piece featuring Khatu Shyam imagery with Hindi lettering and an ornamental border. Owner-confirmed purity is 99.80%.","DDA Khatu Shyam Oval Silver Coin showing Khatu Shyam imagery with Hindi lettering and an ornamental border","","true","true"
"49","C:\Users\kk\Desktop\Files\IMG_2421.jpeg","23587c926b8ceeab03e989dfc374a81905e7d022f7ae075f89de46efe6a673e2","public/images/gallery-ingestion/desktop-files-2026-08-22/049-srinathji-oval-silver-coin-10g.png","DDA-COIN-20260822-049","DDA 10 Gram Srinathji Oval Silver Coin","category-coin","","silver","","999","99.80","owner-confirmed-2026-08-22","oval","10","","","","","","","A 10 gram silver piece featuring Srinathji in an oval devotional composition. Owner-confirmed purity is 99.80%.","DDA 10 Gram Srinathji Oval Silver Coin showing Srinathji in an oval devotional composition","","true","true"
"50","C:\Users\kk\Desktop\Files\IMG_2422.jpeg","3479e238d1910bdc7d322aa01ba34e5f67b29b523980a9b341e36f9ff2e4855c","public/images/gallery-ingestion/desktop-files-2026-08-22/050-george-v-two-tone-oval-coin-15g-single-face.png","DDA-COIN-20260822-050","DDA 15 Gram George V Two-Tone Oval Silver Coin Front","category-coin","","silver","gold-polished","","99.80","owner-confirmed-2026-08-22","oval","15","","","","","","","A 15 gram silver piece featuring a single-face gold-tone George V portrait. Owner-confirmed purity is 99.80%. The gold-polished details are a surface finish on the silver coin.","DDA 15 Gram George V Two-Tone Oval Silver Coin Front showing a single-face gold-tone George V portrait","","true","true"
"51","C:\Users\kk\Desktop\Files\IMG_2423.jpeg","6dc58b7898ee791f34a3ecf1ddaf16ec162a4385d6112f5b178310b9fbb5d6fd","public/images/gallery-ingestion/desktop-files-2026-08-22/051-radha-krishna-two-tone-oval-coin-15g-single-face.png","DDA-COIN-20260822-051","DDA 15 Gram Radha Krishna Two-Tone Oval Silver Coin Front","category-coin","","silver","gold-polished","","99.80","owner-confirmed-2026-08-22","oval","15","","","","","","","A 15 gram silver piece featuring a single-face gold-tone Radha Krishna composition. Owner-confirmed purity is 99.80%. The gold-polished details are a surface finish on the silver coin.","DDA 15 Gram Radha Krishna Two-Tone Oval Silver Coin Front showing a single-face gold-tone Radha Krishna composition","","true","true"
"52","C:\Users\kk\Desktop\Files\IMG_2424.jpeg","6a7fd7e6980814e2e751bd1a3afc59f3e0dcaf0d8642e6b7889b0ff786f40d32","public/images/gallery-ingestion/desktop-files-2026-08-22/052-george-v-all-silver-oval-coin-15g-single-face.png","DDA-COIN-20260822-052","DDA 15 Gram George V Oval Silver Coin Front","category-coin","","silver","","","99.80","owner-confirmed-2026-08-22","oval","15","","","","","","","A 15 gram silver piece featuring a single-face all-silver George V portrait. Owner-confirmed purity is 99.80%.","DDA 15 Gram George V Oval Silver Coin Front showing a single-face all-silver George V portrait","","true","true"
"53","C:\Users\kk\Desktop\Files\IMG_2425.jpeg","5a7fd90c16b6a1ec0ef7d303b9644311eab0b435ae353efe6ceb0ee87f8fe822","public/images/gallery-ingestion/desktop-files-2026-08-22/053-radha-krishna-all-silver-oval-coin-single-face.png","DDA-COIN-20260822-053","DDA Radha Krishna Oval Silver Coin Front","category-coin","","silver","","","99.80","owner-confirmed-2026-08-22","oval","10","","","","","","","A 10 gram silver piece featuring a single-face all-silver Radha Krishna composition. Owner-confirmed purity is 99.80%.","DDA Radha Krishna Oval Silver Coin Front showing a single-face all-silver Radha Krishna composition","","true","true"
"54","C:\Users\kk\Desktop\Files\IMG_2426.jpeg","b70d04c803d697c01552d9b10ce7365abbf9d9e1b57804c592bb98ca2e7c3771","public/images/gallery-ingestion/desktop-files-2026-08-22/054-packaged-fine-gold-bar-1g-995.png","DDA-GOLD-20260822-054","DDA 1 Gram Packaged Fine Gold Bar","category-gold","","gold","","99.50","99.50","owner-confirmed-2026-08-22","rectangle","1","","","","","","","A 1 gram gold piece featuring a sealed assay-style pack and rectangular fine-gold bar. Owner-confirmed purity is 99.50%.","DDA 1 Gram Packaged Fine Gold Bar showing a sealed assay-style pack and rectangular fine-gold bar","","true","true"
"55","C:\Users\kk\Desktop\Files\IMG_2443.jpeg","78c335e953c2f456e093bb5032ae2ace6baf9debfa4279ca94e78de8493e1980","public/images/gallery-ingestion/desktop-files-2026-08-22/055-multicolor-enamel-petal-thali-set-9in-765g.png","DDA-UT-PT-2201","DDA 9 Inch Multicolor Enamel Petal Pooja Thali Set","category-utensils","pooja-thali-set","silver","","","92.5","owner-confirmed-2026-08-22","","765","","9","Diameter 9 inch","","","","A 765 gram, 9-inch Pooja Thali Set in confirmed 92.5% silver with a multicolor enamel petal border and coordinated ritual vessels.","DDA 9 Inch Multicolor Enamel Petal Pooja Thali Set showing a multicolor enamel petal border and coordinated ritual vessels","","true","true"
"56","C:\Users\kk\Desktop\Files\IMG_2444.jpeg","eba0b8236b3d9e7a6d7c99180aa405f11d949005989d254ba8f638e068336231","public/images/gallery-ingestion/desktop-files-2026-08-22/056-red-enamel-floral-thali-set-12in-930g.png","DDA-UT-PT-2202","DDA 12 Inch Red Enamel Floral Pooja Thali Set","category-utensils","pooja-thali-set","silver","","","92.5","owner-confirmed-2026-08-22","","930","","12","Diameter 12 inch","","","","A 930 gram, 12-inch Pooja Thali Set in confirmed 92.5% silver with a red enamel floral border with swastika, kalash, bowl, and lidded box.","DDA 12 Inch Red Enamel Floral Pooja Thali Set showing a red enamel floral border with swastika, kalash, bowl, and lidded box","","true","true"
"57","C:\Users\kk\Desktop\Files\IMG_2445.jpeg","55314b57d241926a6f284ae0989f3f4ed1291c79cd1849441eb127211af21597","public/images/gallery-ingestion/desktop-files-2026-08-22/057-blue-enamel-floral-thali-set-12in-1123g.png","DDA-UT-PT-2203","DDA 12 Inch Blue Enamel Floral Pooja Thali Set","category-utensils","pooja-thali-set","silver","","","92.5","owner-confirmed-2026-08-22","","1123","","12","Diameter 12 inch","","","","A 1123 gram, 12-inch Pooja Thali Set in confirmed 92.5% silver with a blue enamel floral border, oval wells, and coordinated vessels.","DDA 12 Inch Blue Enamel Floral Pooja Thali Set showing a blue enamel floral border, oval wells, and coordinated vessels","","true","true"
"58","C:\Users\kk\Desktop\Files\11f84376-bee9-41bf-8844-5ff825623303.jpeg","a21836be5a20f169f7cc0971207e89ea4fd87a417abf0930313128e8b8805976","public/images/gallery-ingestion/desktop-files-2026-08-22/058-radha-krishna-two-tone-oval-coin-5g-single-face.png","DDA-COIN-20260822-058","DDA 5 Gram Radha Krishna Two-Tone Oval Silver Coin Front","category-coin","","silver","gold-polished","","99.80","owner-confirmed-2026-08-22","oval","5","","","","alternateGalleryImage","false","DDA-COIN-20260822-067","A 5 gram silver piece featuring a single-face gold-tone Radha Krishna composition. Owner-confirmed purity is 99.80%. The gold-polished details are a surface finish on the silver coin.","DDA 5 Gram Radha Krishna Two-Tone Oval Silver Coin Front showing a single-face gold-tone Radha Krishna composition","","true","true"
"59","C:\Users\kk\Desktop\Files\14676abf-3495-4b70-8504-b40ae85b9eb1.jpeg","32645bc9f2555c55ba271d7471a3a8987c136f29fbff165fc0dadb6df4f76c30","public/images/gallery-ingestion/desktop-files-2026-08-22/059-floral-openwork-thali-set-8in-225g.png","DDA-UT-PT-2204","DDA 8 Inch Floral Openwork Pooja Thali Set","category-utensils","pooja-thali-set","silver","","","92.5","owner-confirmed-2026-08-22","","225","","8","Diameter 8 inch","","","","A 225 gram, 8-inch Pooja Thali Set in confirmed 92.5% silver with an openwork floral tray and gold-tone coordinated vessels.","DDA 8 Inch Floral Openwork Pooja Thali Set showing an openwork floral tray and gold-tone coordinated vessels","","true","true"
"60","C:\Users\kk\Desktop\Files\1cd890d5-e377-44da-a0b8-9c44647e5429.jpeg","a36ad87f77e51fa1843107fbc6133c6f03fb3e54d5aaa90d7ed36ac6d6a03cf3","public/images/gallery-ingestion/desktop-files-2026-08-22/060-george-v-all-silver-oval-coin-5g.png","DDA-COIN-20260822-060","DDA 5 Gram George V Oval Silver Coin","category-coin","","silver","","999","99.80","owner-confirmed-2026-08-22","oval","5","","","","","","","A 5 gram silver piece featuring an all-silver George V portrait and floral reverse. Owner-confirmed purity is 99.80%.","DDA 5 Gram George V Oval Silver Coin showing an all-silver George V portrait and floral reverse","","true","true"
"61","C:\Users\kk\Desktop\Files\1cee2f85-3ddc-4e62-aff7-ddbb8ece58ea.jpeg","7a6e237608e1d8acc2d894c9c105630d2ae7a3053ba8900ee0f20f5b082a8fcb","public/images/gallery-ingestion/desktop-files-2026-08-22/061-gold-tone-vessel-floral-thali-set-9in-275g.png","DDA-UT-PT-2205","DDA 9 Inch Floral Pooja Thali Set with Gold-Tone Vessels","category-utensils","pooja-thali-set","silver","","","92.5","owner-confirmed-2026-08-22","","275","","9","Diameter 9 inch","","","","A 275 gram, 9-inch Pooja Thali Set in confirmed 92.5% silver with a floral-scroll silver tray and contrasting gold-tone vessels.","DDA 9 Inch Floral Pooja Thali Set with Gold-Tone Vessels showing a floral-scroll silver tray and contrasting gold-tone vessels","","true","true"
"62","C:\Users\kk\Desktop\Files\2e1bd7f4-bc2d-4662-b604-a88818416a95.jpeg","6cd5afe011410e42b1fd82d8787e79974a5c3317d2b0390b9e96a2f9fc20d700","public/images/gallery-ingestion/desktop-files-2026-08-22/062-ornate-embossed-thali-set-8in-400g.png","DDA-UT-PT-2206","DDA 8 Inch Ornate Embossed Pooja Thali Set","category-utensils","pooja-thali-set","silver","","","92.5","owner-confirmed-2026-08-22","","400","","8","Diameter 8 inch","","","","A 400 gram, 8-inch Pooja Thali Set in confirmed 92.5% silver with dense embossed ornament and three coordinated vessels.","DDA 8 Inch Ornate Embossed Pooja Thali Set showing dense embossed ornament and three coordinated vessels","","true","true"
"63","C:\Users\kk\Desktop\Files\367ba6d7-c06c-4e12-a75c-05098b412cd8.jpeg","3ce0d6535b9387d054f5887f6bfe879795f16def5de6b87b3bfc06cfc0941987","public/images/gallery-ingestion/desktop-files-2026-08-22/063-packaged-classical-profile-fine-gold-bar-5g-995.png","DDA-GOLD-20260822-063","DDA 5 Gram Packaged Classical Profile Fine Gold Bar","category-gold","","gold","","99.50","99.50","owner-confirmed-2026-08-22","rectangle","5","0.03","","","","","","A 5 gram gold piece featuring a classical-profile rectangular bar in a sealed assay-style pack. Owner-confirmed purity is 99.50%.","DDA 5 Gram Packaged Classical Profile Fine Gold Bar showing a classical-profile rectangular bar in a sealed assay-style pack","","true","true"
"64","C:\Users\kk\Desktop\Files\3fd2b7a6-01e7-4a9d-891a-d4361c0d20f8.jpeg","2a88e9309474b54d70b5b09d3a6b0532ee0e89991a4da92683cc19df58319fa6","public/images/gallery-ingestion/desktop-files-2026-08-22/064-floral-scroll-ghungroo-thali-set-10in-500g.png","DDA-UT-PT-2207","DDA 10 Inch Floral Scroll Ghungroo Pooja Thali Set","category-utensils","pooja-thali-set","silver","","","92.5","owner-confirmed-2026-08-22","","500","","10","Diameter 10 inch","","","","A 500 gram, 10-inch Pooja Thali Set in confirmed 92.5% silver with floral scrollwork, gold accents, hanging ghungroo, and three vessels.","DDA 10 Inch Floral Scroll Ghungroo Pooja Thali Set showing floral scrollwork, gold accents, hanging ghungroo, and three vessels","","true","true"
"65","C:\Users\kk\Desktop\Files\539af97c-9485-4480-911e-dc120c3667c4.jpeg","8fd3debc1bb4eeed8ff559df5e443a0a4f419134743d82a71d98e98d82f07bc1","public/images/gallery-ingestion/desktop-files-2026-08-22/065-radha-krishna-all-silver-oval-coin-5g.png","DDA-COIN-20260822-065","DDA 5 Gram Radha Krishna Oval Silver Coin","category-coin","","silver","","999","99.80","owner-confirmed-2026-08-22","oval","5","","","","","","","A 5 gram silver piece featuring an all-silver Radha Krishna face and ornamental reverse. Owner-confirmed purity is 99.80%.","DDA 5 Gram Radha Krishna Oval Silver Coin showing an all-silver Radha Krishna face and ornamental reverse","","true","true"
"66","C:\Users\kk\Desktop\Files\5b41612d-590c-4f13-8d2f-e92736b6aee5.jpeg","e115fc4b3cbe5def385a2b8519d6d51ab411eed795d1992bbdc407ec68f85a3a","public/images/gallery-ingestion/desktop-files-2026-08-22/066-leaf-petal-thali-set-10in-400g.png","DDA-UT-PT-2208","DDA 10 Inch Leaf Petal Pooja Thali Set","category-utensils","pooja-thali-set","silver","","","92.5","owner-confirmed-2026-08-22","","400","","10","Diameter 10 inch","","","","A 400 gram, 10-inch Pooja Thali Set in confirmed 92.5% silver with a leaf-and-petal tray design with three coordinated vessels.","DDA 10 Inch Leaf Petal Pooja Thali Set showing a leaf-and-petal tray design with three coordinated vessels","","true","true"
"67","C:\Users\kk\Desktop\Files\6ceb8430-1109-43a3-ac8a-b1ad9d245853.jpeg","7415443608bdb1624b92699e7022e31d5e3cc0e2f4642e32519c7d67a2402a22","public/images/gallery-ingestion/desktop-files-2026-08-22/067-radha-krishna-two-tone-oval-coin-5g.png","DDA-COIN-20260822-067","DDA 5 Gram Radha Krishna Two-Tone Oval Silver Coin","category-coin","","silver","gold-polished","999","99.80","owner-confirmed-2026-08-22","oval","5","","","","","","","A 5 gram silver piece featuring a gold-tone Radha Krishna face and ornamental reverse. Owner-confirmed purity is 99.80%. The gold-polished details are a surface finish on the silver coin.","DDA 5 Gram Radha Krishna Two-Tone Oval Silver Coin showing a gold-tone Radha Krishna face and ornamental reverse","","true","true"
"68","C:\Users\kk\Desktop\Files\84a157ea-d482-4e03-a8b5-f75fb7b6de27.jpeg","003df566da359c868877d84c65412b5feb80d9697e20f72096fa0432663a9a65","public/images/gallery-ingestion/desktop-files-2026-08-22/068-george-v-two-tone-oval-coin-5g-single-face.png","DDA-COIN-20260822-068","DDA 5 Gram George V Two-Tone Oval Silver Coin Front","category-coin","","silver","gold-polished","","99.80","owner-confirmed-2026-08-22","oval","5","","","","alternateGalleryImage","false","DDA-COIN-20260822-070","A 5 gram silver piece featuring a single-face gold-tone George V portrait. Owner-confirmed purity is 99.80%. The gold-polished details are a surface finish on the silver coin.","DDA 5 Gram George V Two-Tone Oval Silver Coin Front showing a single-face gold-tone George V portrait","","true","true"
"69","C:\Users\kk\Desktop\Files\85bf56d5-1730-4232-9327-7c5500c3576c.jpeg","e5af92bf055a287e927ae3efe67296ce0ffb7a9889524b51c732c0a650cf8fb4","public/images/gallery-ingestion/desktop-files-2026-08-22/069-george-v-all-silver-oval-coin-5g-single-face.png","DDA-COIN-20260822-069","DDA 5 Gram George V Oval Silver Coin Front","category-coin","","silver","","","99.80","owner-confirmed-2026-08-22","oval","5","","","","alternateGalleryImage","false","DDA-COIN-20260822-060","A 5 gram silver piece featuring a single-face all-silver George V portrait. Owner-confirmed purity is 99.80%.","DDA 5 Gram George V Oval Silver Coin Front showing a single-face all-silver George V portrait","","true","true"
"70","C:\Users\kk\Desktop\Files\90a4809d-37a3-4f2e-adaa-84993bba3cde.jpeg","7aedaa6460ed94aa3ee56510506874ee2db3eb40960ece6d4141e152008cb788","public/images/gallery-ingestion/desktop-files-2026-08-22/070-george-v-two-tone-oval-coin-5g.png","DDA-COIN-20260822-070","DDA 5 Gram George V Two-Tone Oval Silver Coin","category-coin","","silver","gold-polished","999","99.80","owner-confirmed-2026-08-22","oval","5","","","","","","","A 5 gram silver piece featuring an oval gold-tone George V portrait paired with a patterned reverse. Owner-confirmed purity is 99.80%. The gold-polished details are a surface finish on the silver coin.","DDA 5 Gram George V Two-Tone Oval Silver Coin showing an oval gold-tone George V portrait paired with a patterned reverse","","true","true"
"71","C:\Users\kk\Desktop\Files\a4a08061-788e-4f7c-9b7f-5e3a5be288ea.jpeg","11a038421bbddf1b9063f8fdcb7340f017b6c59b3de91b76a397c8e73d0102e0","public/images/gallery-ingestion/desktop-files-2026-08-22/071-packaged-classical-profile-fine-gold-bar-10g-995.png","DDA-GOLD-20260822-071","DDA 10 Gram Packaged Classical Profile Fine Gold Bar","category-gold","","gold","","99.50","99.50","owner-confirmed-2026-08-22","rectangle","10","0.03","","","","","","A 10 gram gold piece featuring a classical-profile rectangular bar in a sealed assay-style pack. Owner-confirmed purity is 99.50%.","DDA 10 Gram Packaged Classical Profile Fine Gold Bar showing a classical-profile rectangular bar in a sealed assay-style pack","","true","true"
"72","C:\Users\kk\Desktop\Files\b5b74478-0f80-4f40-8e06-761e21a4d20b.jpeg","b8e1a3775e412cf0fe63c518502b48bb8bb946aa2ad382a51e9ee9df697c0778","public/images/gallery-ingestion/desktop-files-2026-08-22/072-packaged-queen-victoria-gold-coin-8g-916.png","DDA-GOLD-20260822-072","DDA 8 Gram Packaged Queen Victoria Gold Coin","category-gold","","gold","","91.60","99.50","owner-confirmed-2026-08-22","round","8","0.03","","","","","","A 8 gram gold piece featuring a round Queen Victoria portrait coin in a sealed assay-style pack. Owner-confirmed purity is 99.50%.","DDA 8 Gram Packaged Queen Victoria Gold Coin showing a round Queen Victoria portrait coin in a sealed assay-style pack","","true","true"
"73","C:\Users\kk\Desktop\Files\b68273dd-ae42-41b6-81d5-23a0e672e48f.jpeg","873c66255006ed92bd36347d647362e1e013f27ef047afb227ebdb594e53c6de","public/images/gallery-ingestion/desktop-files-2026-08-22/073-lotus-ghungroo-thali-set-6in-150g.png","DDA-UT-PT-2209","DDA 6 Inch Lotus Ghungroo Pooja Thali Set","category-utensils","pooja-thali-set","silver","","","92.5","owner-confirmed-2026-08-22","","150","","6","Diameter 6 inch","","","","A 150 gram, 6-inch Pooja Thali Set in confirmed 92.5% silver with lotus engraving, hanging ghungroo, and three coordinated vessels.","DDA 6 Inch Lotus Ghungroo Pooja Thali Set showing lotus engraving, hanging ghungroo, and three coordinated vessels","","true","true"
"74","C:\Users\kk\Desktop\Files\bc3b199c-4eb6-479e-b2c3-4cd02f5006fe.jpeg","2a015c5808ac6bdd21a81196f1ae9e00abb86ae6eb997975a7ef98b5046721f1","public/images/gallery-ingestion/desktop-files-2026-08-22/074-blue-teal-enamel-thali-set-10in-765g.png","DDA-UT-PT-2210","DDA 10 Inch Blue Teal Enamel Pooja Thali Set","category-utensils","pooja-thali-set","silver","","","92.5","owner-confirmed-2026-08-22","","765","","10","Diameter 10 inch","","","","A 765 gram, 10-inch Pooja Thali Set in confirmed 92.5% silver with a blue-teal enamel border, reflective tray, and two main vessels.","DDA 10 Inch Blue Teal Enamel Pooja Thali Set showing a blue-teal enamel border, reflective tray, and two main vessels","","true","true"
"75","C:\Users\kk\Desktop\Files\cfd8b2c9-1786-469b-8c5f-1d390559ba1f.jpeg","997419b731ac68a903b3d730a60273df4d9436700f7b1d72013d599330941d30","public/images/gallery-ingestion/desktop-files-2026-08-22/075-packaged-queen-victoria-gold-coin-4g-916.png","DDA-GOLD-20260822-075","DDA 4 Gram Packaged Queen Victoria Gold Coin","category-gold","","gold","","91.60","99.50","owner-confirmed-2026-08-22","round","4","0.03","","","","","","A 4 gram gold piece featuring a round Queen Victoria portrait coin in a sealed assay-style pack. Owner-confirmed purity is 99.50%.","DDA 4 Gram Packaged Queen Victoria Gold Coin showing a round Queen Victoria portrait coin in a sealed assay-style pack","","true","true"
"76","C:\Users\kk\Desktop\Files\d59775fc-a4df-4ec0-97a9-6693c1e687d7.jpeg","1b50fa631301c69f0d751ed5f8d64793d30cabddeeec4a08a054d20a6cbdc820","public/images/gallery-ingestion/desktop-files-2026-08-22/076-packaged-classical-profile-fine-gold-bar-2g-995.png","DDA-GOLD-20260822-076","DDA 2 Gram Packaged Classical Profile Fine Gold Bar","category-gold","","gold","","99.50","99.50","owner-confirmed-2026-08-22","rectangle","2","0.03","","","","","","A 2 gram gold piece featuring a classical-profile rectangular bar in a sealed assay-style pack. Owner-confirmed purity is 99.50%.","DDA 2 Gram Packaged Classical Profile Fine Gold Bar showing a classical-profile rectangular bar in a sealed assay-style pack","","true","true"
"77","C:\Users\kk\Desktop\Files\d654646f-268b-4c4a-9ef8-02f7c1cea9b0.jpeg","fc55c61d72807804b10b266071e2b5635bfeaf01094575e04c8e740c2d39057b","public/images/gallery-ingestion/desktop-files-2026-08-22/077-radha-krishna-all-silver-oval-coin-5g-single-face-unclear-purity.png","DDA-COIN-20260822-077","DDA 5 Gram Radha Krishna Oval Silver Coin Front with Unclear Mark","category-coin","","silver","","unclear DDA9999-style engraving","99.80","owner-confirmed-2026-08-22","oval","5","","","","alternateGalleryImage","false","DDA-COIN-20260822-065","A 5 gram silver piece featuring a single-face all-silver Radha Krishna composition. Owner-confirmed purity is 99.80%.","DDA 5 Gram Radha Krishna Oval Silver Coin Front with Unclear Mark showing a single-face all-silver Radha Krishna composition","","true","true"
"78","C:\Users\kk\Desktop\Files\WhatsApp Image 2026-08-22 at 1.27.28 PM.jpeg","8c0452b1f36d3b811a61a046902ade581fb7b20136938c71f1a27e67d1784b1d","public/images/gallery-ingestion/desktop-files-2026-08-22/078-floral-scroll-leaf-rim-thali-set-11in-950g.png","DDA-UT-PT-2211","DDA 11 Inch Floral Scroll Leaf Rim Pooja Thali Set","category-utensils","pooja-thali-set","silver","","","92.5","owner-confirmed-2026-08-22","","950","","11","Diameter 11 inch","","","","A 950 gram, 11-inch Pooja Thali Set in confirmed 92.5% silver with dense floral scrollwork, a layered leaf rim, two bowls, pot, and handled accessory.","DDA 11 Inch Floral Scroll Leaf Rim Pooja Thali Set showing dense floral scrollwork, a layered leaf rim, two bowls, pot, and handled accessory","","true","true"
"79","C:\Users\kk\Desktop\Files\WhatsApp Image 2026-08-22 at 2.44.24 PM.jpeg","1a96594e29d245a67a637d04160169cc636694c93f065fd86e4b15068a8e73c7","public/images/gallery-ingestion/desktop-files-2026-08-22/079-peacock-flower-thali-set-10in-500g.png","DDA-UT-PT-2212","DDA 10 Inch Peacock Flower Pooja Thali Set","category-utensils","pooja-thali-set","silver","","","92.5","owner-confirmed-2026-08-22","","500","","10","Diameter 10 inch","","","","A 500 gram, 10-inch Pooja Thali Set in confirmed 92.5% silver with a layered central flower, peacock-feather rim, two bowls, and pot.","DDA 10 Inch Peacock Flower Pooja Thali Set showing a layered central flower, peacock-feather rim, two bowls, and pot","","true","true"
"80","C:\Users\kk\Desktop\Files\WhatsApp Image 2026-08-22 at 2.45.41 PM.jpeg","cac60aad93ebd67db0cd2613ffccc4a78456ffe0939b7535431fa95eb990b975","public/images/gallery-ingestion/desktop-files-2026-08-22/080-floral-butterfly-thali-set-8in-475g.png","DDA-UT-PT-2213","DDA 8 Inch Floral Butterfly Pooja Thali Set","category-utensils","pooja-thali-set","silver","","","92.5","owner-confirmed-2026-08-22","","475","","8","Diameter 8 inch","","","","A 475 gram, 8-inch Pooja Thali Set in confirmed 92.5% silver with floral-and-butterfly engraving, ornate scallops, two bowls, raised bowl, and pot.","DDA 8 Inch Floral Butterfly Pooja Thali Set showing floral-and-butterfly engraving, ornate scallops, two bowls, raised bowl, and pot","","true","true"
